usps,year,population
AL,1970,3454557
AL,1971,3497349
AL,1972,3540003
AL,1973,3580759
AL,1974,3627778
AL,1975,3680495
AL,1976,3737038
AL,1977,3782571
AL,1978,3833971
AL,1979,3869340
AL,1980,3893888
AL,1981,3918531
AL,1982,3925266
AL,1983,3934102
AL,1984,3951820
AL,1985,3972523
AL,1986,3991569
AL,1987,4015264
AL,1988,4023844
AL,1989,4030222
AL,1990,4050055
AL,1991,4099156
AL,1992,4154014
AL,1993,4214202
AL,1994,4260229
AL,1995,4296800
AL,1996,4331102
AL,1997,4367935
AL,1998,4404701
AL,1999,4430141
AL,2000,4452173
AL,2001,4467634
AL,2002,4480089
AL,2003,4503491
AL,2004,4530729
AL,2005,4569805
AL,2006,4628981
AL,2007,4672840
AL,2008,4718206
AL,2009,4757938
AL,2010,4785822
AL,2011,4801695
AL,2012,4817484
AL,2013,4833996
AL,2014,4849377
AK,1970,305328
AK,1971,316366
AK,1972,326431
AK,1973,333134
AK,1974,344658
AK,1975,370866
AK,1976,392998
AK,1977,397220
AK,1978,402051
AK,1979,403367
AK,1980,401851
AK,1981,418491
AK,1982,449606
AK,1983,488417
AK,1984,513702
AK,1985,532495
AK,1986,544268
AK,1987,539309
AK,1988,541983
AK,1989,547159
AK,1990,553290
AK,1991,570193
AK,1992,588736
AK,1993,599432
AK,1994,603308
AK,1995,604412
AK,1996,608569
AK,1997,612968
AK,1998,619932
AK,1999,624779
AK,2000,627963
AK,2001,633714
AK,2002,642337
AK,2003,648414
AK,2004,659286
AK,2005,666946
AK,2006,675302
AK,2007,680300
AK,2008,687455
AK,2009,698895
AK,2010,713856
AK,2011,722572
AK,2012,731081
AK,2013,737259
AK,2014,736732
AZ,1970,1799531
AZ,1971,1896117
AZ,1972,2008852
AZ,1973,2125305
AZ,1974,2224356
AZ,1975,2286342
AZ,1976,2347970
AZ,1977,2427296
AZ,1978,2517851
AZ,1979,2638572
AZ,1980,2718215
AZ,1981,2810107
AZ,1982,2889861
AZ,1983,2968925
AZ,1984,3067135
AZ,1985,3183538
AZ,1986,3308262
AZ,1987,3437103
AZ,1988,3535183
AZ,1989,3622185
AZ,1990,3684097
AZ,1991,3788576
AZ,1992,3915740
AZ,1993,4065440
AZ,1994,4245089
AZ,1995,4432499
AZ,1996,4586940
AZ,1997,4736990
AZ,1998,4883342
AZ,1999,5023823
AZ,2000,5160586
AZ,2001,5273477
AZ,2002,5396255
AZ,2003,5510364
AZ,2004,5652404
AZ,2005,5839077
AZ,2006,6029141
AZ,2007,6167681
AZ,2008,6280362
AZ,2009,6343154
AZ,2010,6411999
AZ,2011,6472867
AZ,2012,6556236
AZ,2013,6634997
AZ,2014,6731484
AR,1970,1932816
AR,1971,1971940
AR,1972,2017987
AR,1973,2058402
AR,1974,2100229
AR,1975,2158257
AR,1976,2168656
AR,1977,2207195
AR,1978,2240956
AR,1979,2269073
AR,1980,2286435
AR,1981,2293201
AR,1982,2294257
AR,1983,2305761
AR,1984,2319768
AR,1985,2327046
AR,1986,2331984
AR,1987,2342355
AR,1988,2342656
AR,1989,2346358
AR,1990,2356586
AR,1991,2383144
AR,1992,2415984
AR,1993,2456303
AR,1994,2494019
AR,1995,2535399
AR,1996,2572109
AR,1997,2601090
AR,1998,2626289
AR,1999,2651860
AR,2000,2678588
AR,2001,2691571
AR,2002,2705927
AR,2003,2724816
AR,2004,2749686
AR,2005,2781097
AR,2006,2821761
AR,2007,2848650
AR,2008,2874554
AR,2009,2896843
AR,2010,2922297
AR,2011,2938430
AR,2012,2949300
AR,2013,2958765
AR,2014,2966369
CA,1970,20045806
CA,1971,20345724
CA,1972,20584918
CA,1973,20867894
CA,1974,21172684
CA,1975,21536811
CA,1976,21934604
CA,1977,22350332
CA,1978,22839038
CA,1979,23255178
CA,1980,23667902
CA,1981,24285933
CA,1982,24820009
CA,1983,25360026
CA,1984,25844393
CA,1985,26441109
CA,1986,27102237
CA,1987,27777158
CA,1988,28464249
CA,1989,29218164
CA,1990,29959515
CA,1991,30470736
CA,1992,30974659
CA,1993,31274928
CA,1994,31484435
CA,1995,31696582
CA,1996,32018834
CA,1997,32486010
CA,1998,32987675
CA,1999,33499204
CA,2000,33987977
CA,2001,34479458
CA,2002,34871843
CA,2003,35253159
CA,2004,35574576
CA,2005,35827943
CA,2006,36021202
CA,2007,36250311
CA,2008,36604337
CA,2009,36961229
CA,2010,37336011
CA,2011,37701901
CA,2012,38062780
CA,2013,38431393
CA,2014,38802500
CO,1970,2228340
CO,1971,2303608
CO,1972,2404715
CO,1973,2495942
CO,1974,2541424
CO,1975,2586243
CO,1976,2632370
CO,1977,2696179
CO,1978,2766843
CO,1979,2849298
CO,1980,2889964
CO,1981,2977898
CO,1982,3061564
CO,1983,3133630
CO,1984,3169992
CO,1985,3208723
CO,1986,3237450
CO,1987,3260480
CO,1988,3262281
CO,1989,3275818
CO,1990,3307618
CO,1991,3387119
CO,1992,3495939
CO,1993,3613734
CO,1994,3724168
CO,1995,3826653
CO,1996,3919972
CO,1997,4018293
CO,1998,4116639
CO,1999,4226018
CO,2000,4326921
CO,2001,4425687
CO,2002,4490406
CO,2003,4528732
CO,2004,4575013
